Store,Handbag Type,Color,Material,Size,Manufacturing City,Lead Time (Days),Shipping Time (Days),Total Lead Time (Days),Season,Base Demand,Adjusted Demand,Stock Level,Overfill/Underfill
Westfield World Trade Center,Robinson Tote,Purple,Pebbled Leather,Medium,Shenzhen,31,18,49,Spring,144,172,12,-160
Soho,McGraw Tote,Purple,Canvas,Large,Shenzhen,49,16,65,Winter,55,44,7,-37
Westfield World Trade Center,Britten Tote,Beige,Coated Canvas,Medium,Guangzhou,30,18,48,Summer,245,245,255,10
Yorkdale Shopping Centre,Britten Tote,Purple,Coated Canvas,Medium,Guangzhou,40,16,56,Winter,107,85,7,-78
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Red,Coated Canvas,Small,Hanoi,35,14,49,Fall,198,217,228,11
Westfield World Trade Center,Ella Tote,Red,Coated Canvas,Small,Shenzhen,46,18,64,Summer,163,163,182,19
Bal Harbour Shops,Robinson Tote,Yellow,Leather,Small,Da Nang,47,16,63,Summer,188,188,221,33
Soho,Robinson Tote,Gray,Leather,Medium,Da Nang,45,17,62,Spring,167,200,15,-185
Oak Street,Gemini Link Tote,Multi,Leather,Medium,Hanoi,33,15,48,Fall,230,253,116,-137
Oak Street,Perry Tote,Pink,Leather,Small,Ho Chi Minh City,36,16,52,Winter,144,115,61,-54
San Francisco Centre,Britten Tote,Blue,Pebbled Leather,Small,Da Nang,46,14,60,Winter,265,212,95,-117
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Black,Canvas,Mini,Shenzhen,36,18,54,Summer,88,88,114,26
The Galleria,Ella Tote,Red,Coated Canvas,Medium,Hanoi,43,17,60,Fall,265,291,193,-98
El Palacio de Hierro (Polanco),Perry Tote,Black,Canvas,Small,Da Nang,34,16,50,Spring,169,202,8,-194
Westfield World Trade Center,Kira Chevron Tote,Blue,Coated Canvas,Mini,Ho Chi Minh City,43,17,60,Spring,87,104,33,-71
Yorkdale Shopping Centre,Robinson Tote,Beige,Coated Canvas,Medium,Ho Chi Minh City,47,15,62,Summer,80,80,35,-45
Oak Street,Ella Tote,Green,Pebbled Leather,Small,Ho Chi Minh City,50,15,65,Spring,197,236,67,-169
Oak Street,Robinson Tote,Brown,Leather,Medium,Shenzhen,42,14,56,Spring,191,229,58,-171
Rodeo Drive,Britten Tote,Beige,Coated Canvas,Medium,Shenzhen,42,18,60,Spring,251,301,255,-46
El Palacio de Hierro (Polanco),McGraw Tote,Red,Leather,Large,Shenzhen,41,16,57,Summer,197,197,107,-90
Bal Harbour Shops,T Monogram Tote,Gray,Coated Canvas,Small,Hanoi,34,15,49,Fall,253,278,63,-215
Soho,Robinson Tote,Black,Leather,Large,Ho Chi Minh City,36,15,51,Fall,228,250,34,-216
Aventura Mall,Britten Tote,Beige,Pebbled Leather,Mini,Ho Chi Minh City,30,16,46,Fall,157,172,187,15
The Galleria,Ella Tote,Brown,Pebbled Leather,Mini,Guangzhou,48,18,66,Fall,275,302,177,-125
San Francisco Centre,Kira Chevron Tote,Metallic,Leather,Mini,Hanoi,36,17,53,Fall,180,198,99,-99
Yorkdale Shopping Centre,Kira Chevron Tote,Purple,Coated Canvas,Mini,Hanoi,39,17,56,Spring,181,217,4,-213
The Galleria,Gemini Link Tote,Pink,Leather,Mini,Da Nang,50,14,64,Fall,126,138,145,7
Oak Street,Britten Tote,Yellow,Jacquard,Medium,Da Nang,34,15,49,Winter,72,57,25,-32
Oak Street,Gemini Link Tote,Blue,Coated Canvas,Medium,Guangzhou,32,18,50,Fall,104,114,92,-22
Bal Harbour Shops,Ella Tote,Metallic,Canvas,Large,Guangzhou,39,14,53,Winter,284,227,169,-58
Westfield World Trade Center,Robinson Tote,Metallic,Coated Canvas,Large,Ho Chi Minh City,32,15,47,Fall,183,201,65,-136
San Francisco Centre,Kira Chevron Tote,Multi,Jacquard,Medium,Hanoi,31,14,45,Winter,55,44,28,-16
Rodeo Drive,Gemini Link Tote,Blue,Coated Canvas,Medium,Ho Chi Minh City,33,15,48,Winter,99,79,88,9
Madison Avenue,T Monogram Tote,Multi,Coated Canvas,Small,Shenzhen,40,15,55,Winter,123,98,114,16
El Palacio de Hierro (Polanco),Gemini Link Tote,Brown,Jacquard,Mini,Ho Chi Minh City,44,17,61,Summer,185,185,110,-75
Oak Street,T Monogram Tote,Gray,Coated Canvas,Mini,Hanoi,36,16,52,Summer,86,86,135,49
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Blue,Canvas,Mini,Da Nang,34,17,51,Summer,121,121,104,-17
South Coast Plaza,T Monogram Tote,Beige,Jacquard,Small,Guangzhou,37,16,53,Winter,285,228,198,-30
Bal Harbour Shops,Kira Chevron Tote,Beige,Pebbled Leather,Mini,Ho Chi Minh City,34,15,49,Spring,188,225,258,33
San Francisco Centre,Kira Chevron Tote,Blue,Jacquard,Small,Da Nang,40,14,54,Spring,141,169,44,-125
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Metallic,Jacquard,Mini,Ho Chi Minh City,30,16,46,Summer,236,236,157,-79
Oak Street,Perry Tote,Green,Canvas,Large,Ho Chi Minh City,44,14,58,Fall,240,264,171,-93
El Palacio de Hierro (Polanco),Kira Chevron Tote,Gray,Coated Canvas,Medium,Ho Chi Minh City,49,16,65,Spring,223,267,177,-90
Madison Avenue,McGraw Tote,Metallic,Pebbled Leather,Mini,Shenzhen,37,15,52,Spring,129,154,202,48
NorthPark Center,Gemini Link Tote,Gray,Pebbled Leather,Medium,Shenzhen,31,18,49,Winter,127,101,117,16
The Galleria,Robinson Tote,Beige,Jacquard,Large,Shenzhen,45,14,59,Fall,296,325,150,-175
Yorkdale Shopping Centre,Britten Tote,Gray,Canvas,Mini,Hanoi,38,16,54,Spring,265,318,283,-35
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,White,Jacquard,Mini,Guangzhou,46,14,60,Spring,221,265,211,-54
Soho,Perry Tote,Yellow,Pebbled Leather,Large,Ho Chi Minh City,45,16,61,Spring,169,202,167,-35
Bal Harbour Shops,McGraw Tote,White,Leather,Large,Ho Chi Minh City,37,15,52,Summer,262,262,61,-201
El Palacio de Hierro (Polanco),Robinson Tote,Purple,Coated Canvas,Medium,Hanoi,40,17,57,Fall,78,85,1,-84
Rodeo Drive,Ella Tote,Gray,Pebbled Leather,Medium,Ho Chi Minh City,42,18,60,Summer,69,69,5,-64
San Francisco Centre,Ella Tote,Red,Leather,Medium,Guangzhou,32,14,46,Fall,65,71,14,-57
Madison Avenue,Britten Tote,White,Jacquard,Mini,Guangzhou,49,17,66,Fall,292,321,271,-50
San Francisco Centre,Britten Tote,White,Coated Canvas,Medium,Shenzhen,49,18,67,Fall,257,282,40,-242
Yorkdale Shopping Centre,Kira Chevron Tote,Beige,Jacquard,Mini,Shenzhen,43,17,60,Winter,52,41,9,-32
Rodeo Drive,Kira Chevron Tote,Purple,Coated Canvas,Medium,Hanoi,44,16,60,Winter,245,196,146,-50
NorthPark Center,Gemini Link Tote,Green,Canvas,Medium,Ho Chi Minh City,47,15,62,Spring,297,356,17,-339
El Palacio de Hierro (Santa Fe),Ella Tote,Gray,Leather,Mini,Hanoi,47,17,64,Fall,56,61,103,42
Oak Street,Ella Tote,Yellow,Canvas,Small,Hanoi,31,17,48,Fall,242,266,284,18
Pacific Centre,Perry Tote,Multi,Canvas,Mini,Da Nang,44,17,61,Spring,212,254,101,-153
The Galleria,Gemini Link Tote,Gray,Coated Canvas,Small,Ho Chi Minh City,38,17,55,Fall,176,193,56,-137
Rodeo Drive,Britten Tote,Metallic,Jacquard,Large,Ho Chi Minh City,32,17,49,Summer,63,63,69,6
El Palacio de Hierro (Polanco),Robinson Tote,Brown,Pebbled Leather,Medium,Da Nang,50,16,66,Spring,279,334,287,-47
San Francisco Centre,Ella Tote,Pink,Canvas,Medium,Shenzhen,39,17,56,Summer,116,116,104,-12
Westfield World Trade Center,McGraw Tote,Beige,Canvas,Large,Da Nang,39,16,55,Summer,61,61,20,-41
Oak Street,Britten Tote,Brown,Pebbled Leather,Mini,Hanoi,49,16,65,Winter,287,229,144,-85
Aventura Mall,Kira Chevron Tote,Metallic,Leather,Large,Shenzhen,49,17,66,Winter,244,195,174,-21
Pacific Centre,Gemini Link Tote,Blue,Canvas,Small,Hanoi,50,18,68,Summer,297,297,48,-249
El Palacio de Hierro (Polanco),Ella Tote,Brown,Leather,Mini,Shenzhen,35,17,52,Winter,290,232,54,-178
Westfield World Trade Center,Perry Tote,Brown,Pebbled Leather,Medium,Da Nang,45,17,62,Winter,288,230,21,-209
Aventura Mall,Britten Tote,Brown,Canvas,Mini,Shenzhen,49,16,65,Winter,52,41,51,10
Madison Avenue,Perry Tote,Red,Pebbled Leather,Medium,Guangzhou,31,16,47,Fall,242,266,5,-261
Bal Harbour Shops,Gemini Link Tote,Pink,Jacquard,Small,Guangzhou,45,15,60,Summer,149,149,60,-89
Rodeo Drive,Robinson Tote,White,Leather,Medium,Da Nang,36,18,54,Winter,271,216,136,-80
El Palacio de Hierro (Polanco),Britten Tote,Multi,Leather,Large,Hanoi,31,14,45,Winter,145,116,119,3
The Galleria,Britten Tote,Brown,Leather,Small,Hanoi,35,16,51,Fall,128,140,116,-24
NorthPark Center,Ella Tote,Beige,Jacquard,Mini,Hanoi,43,16,59,Fall,105,115,33,-82
El Palacio de Hierro (Santa Fe),T Monogram Tote,Purple,Coated Canvas,Small,Guangzhou,37,15,52,Winter,135,108,111,3
Oak Street,Perry Tote,Red,Leather,Large,Guangzhou,44,14,58,Fall,70,77,68,-9
Aventura Mall,McGraw Tote,Metallic,Leather,Small,Ho Chi Minh City,43,16,59,Spring,262,314,46,-268
El Palacio de Hierro (Polanco),T Monogram Tote,Gray,Canvas,Medium,Hanoi,49,18,67,Fall,162,178,67,-111
San Francisco Centre,Ella Tote,Gray,Pebbled Leather,Mini,Da Nang,45,14,59,Winter,76,60,12,-48
Pacific Centre,Ella Tote,Purple,Coated Canvas,Medium,Shenzhen,43,17,60,Winter,136,108,150,42
The Galleria,McGraw Tote,Yellow,Pebbled Leather,Small,Guangzhou,40,17,57,Winter,239,191,30,-161
NorthPark Center,Ella Tote,Blue,Coated Canvas,Small,Da Nang,33,17,50,Winter,97,77,8,-69
Yorkdale Shopping Centre,McGraw Tote,Blue,Jacquard,Large,Ho Chi Minh City,45,18,63,Winter,238,190,151,-39
Aventura Mall,Gemini Link Tote,Multi,Jacquard,Mini,Shenzhen,50,15,65,Fall,89,97,92,-5
Oak Street,Kira Chevron Tote,Multi,Jacquard,Medium,Guangzhou,45,17,62,Summer,184,184,15,-169
Soho,T Monogram Tote,Multi,Coated Canvas,Large,Hanoi,31,17,48,Spring,278,333,30,-303
Madison Avenue,Britten Tote,Gray,Leather,Medium,Hanoi,42,16,58,Fall,123,135,2,-133
Westfield World Trade Center,Gemini Link Tote,Yellow,Coated Canvas,Medium,Da Nang,36,18,54,Fall,178,195,14,-181
Aventura Mall,Gemini Link Tote,Gray,Pebbled Leather,Mini,Guangzhou,37,16,53,Fall,61,67,96,29
El Palacio de Hierro (Polanco),Robinson Tote,Beige,Pebbled Leather,Medium,Da Nang,37,17,54,Summer,192,192,27,-165
Westfield World Trade Center,T Monogram Tote,Beige,Jacquard,Large,Hanoi,31,17,48,Winter,285,228,180,-48
San Francisco Centre,Ella Tote,Metallic,Pebbled Leather,Large,Ho Chi Minh City,48,14,62,Summer,217,217,257,40
Soho,Britten Tote,Gray,Jacquard,Mini,Da Nang,46,15,61,Winter,129,103,58,-45
San Francisco Centre,Robinson Tote,Pink,Coated Canvas,Mini,Ho Chi Minh City,44,14,58,Fall,146,160,42,-118
Westfield World Trade Center,Britten Tote,Green,Pebbled Leather,Medium,Ho Chi Minh City,47,18,65,Spring,142,170,3,-167
The Galleria,Gemini Link Tote,Purple,Jacquard,Mini,Ho Chi Minh City,44,18,62,Winter,242,193,176,-17
Oak Street,McGraw Tote,Blue,Leather,Small,Shenzhen,45,15,60,Winter,249,199,62,-137
NorthPark Center,Perry Tote,Gray,Coated Canvas,Mini,Shenzhen,31,14,45,Spring,220,264,289,25
Rodeo Drive,Perry Tote,White,Canvas,Small,Hanoi,44,16,60,Winter,187,149,174,25
NorthPark Center,Britten Tote,Black,Canvas,Small,Ho Chi Minh City,30,14,44,Summer,186,186,69,-117
Rodeo Drive,Britten Tote,Yellow,Jacquard,Mini,Guangzhou,41,16,57,Winter,195,156,12,-144
El Palacio de Hierro (Santa Fe),Gemini Link Tote,Blue,Jacquard,Large,Shenzhen,45,14,59,Summer,212,212,262,50
Oak Street,Ella Tote,Green,Canvas,Medium,Da Nang,50,17,67,Winter,97,77,41,-36
The Galleria,Perry Tote,Purple,Coated Canvas,Small,Da Nang,40,14,54,Spring,54,64,7,-57
Rodeo Drive,T Monogram Tote,Purple,Coated Canvas,Small,Da Nang,36,14,50,Spring,217,260,141,-119
Oak Street,Ella Tote,Pink,Pebbled Leather,Large,Hanoi,36,17,53,Fall,176,193,212,19
South Coast Plaza,T Monogram Tote,Red,Coated Canvas,Large,Da Nang,48,18,66,Fall,162,178,165,-13
Yorkdale Shopping Centre,Ella Tote,Purple,Jacquard,Medium,Shenzhen,32,17,49,Fall,103,113,28,-85
Madison Avenue,Gemini Link Tote,Gray,Jacquard,Large,Guangzhou,48,17,65,Summer,61,61,43,-18
Aventura Mall,Perry Tote,Green,Coated Canvas,Medium,Shenzhen,34,15,49,Fall,133,146,193,47
NorthPark Center,Britten Tote,Metallic,Leather,Mini,Hanoi,38,17,55,Summer,167,167,189,22
Madison Avenue,Britten Tote,Beige,Leather,Large,Ho Chi Minh City,31,18,49,Summer,87,87,77,-10
El Palacio de Hierro (Polanco),Ella Tote,Pink,Jacquard,Small,Guangzhou,41,14,55,Winter,51,40,66,26
Oak Street,Britten Tote,Pink,Canvas,Mini,Guangzhou,48,15,63,Fall,110,121,116,-5
Westfield World Trade Center,Perry Tote,Pink,Canvas,Medium,Shenzhen,45,18,63,Winter,235,188,226,38
South Coast Plaza,Britten Tote,Green,Pebbled Leather,Mini,Shenzhen,34,17,51,Fall,217,238,113,-125
Aventura Mall,T Monogram Tote,Beige,Coated Canvas,Medium,Guangzhou,37,18,55,Winter,133,106,129,23
Soho,McGraw Tote,Metallic,Leather,Mini,Guangzhou,48,14,62,Spring,285,342,273,-69
Pacific Centre,Kira Chevron Tote,Black,Leather,Medium,Shenzhen,43,18,61,Winter,187,149,143,-6
Soho,Robinson Tote,Metallic,Pebbled Leather,Large,Shenzhen,36,14,50,Winter,266,212,72,-140
The Galleria,Britten Tote,Metallic,Coated Canvas,Mini,Ho Chi Minh City,36,18,54,Spring,89,106,31,-75
The Galleria,Robinson Tote,Beige,Pebbled Leather,Small,Hanoi,50,16,66,Winter,232,185,65,-120
Rodeo Drive,Robinson Tote,Yellow,Pebbled Leather,Medium,Da Nang,46,16,62,Fall,139,152,54,-98
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Black,Leather,Large,Ho Chi Minh City,46,14,60,Fall,101,111,114,3
Westfield World Trade Center,Perry Tote,Gray,Pebbled Leather,Mini,Ho Chi Minh City,46,14,60,Spring,60,72,107,35
El Palacio de Hierro (Polanco),Britten Tote,Black,Jacquard,Large,Da Nang,31,16,47,Spring,178,213,250,37
NorthPark Center,Gemini Link Tote,Brown,Pebbled Leather,Small,Hanoi,50,17,67,Summer,55,55,36,-19
Bal Harbour Shops,Robinson Tote,Beige,Leather,Small,Hanoi,33,14,47,Winter,239,191,15,-176
The Galleria,Kira Chevron Tote,Pink,Jacquard,Small,Da Nang,50,18,68,Fall,159,174,148,-26
Rodeo Drive,Robinson Tote,White,Canvas,Small,Ho Chi Minh City,30,15,45,Fall,66,72,72,0
NorthPark Center,McGraw Tote,Yellow,Jacquard,Large,Shenzhen,32,17,49,Fall,222,244,145,-99
South Coast Plaza,Kira Chevron Tote,Beige,Coated Canvas,Large,Da Nang,46,16,62,Winter,81,64,73,9
El Palacio de Hierro (Polanco),Britten Tote,Red,Leather,Mini,Guangzhou,39,15,54,Spring,135,162,191,29
Oak Street,T Monogram Tote,Blue,Leather,Small,Da Nang,46,18,64,Spring,231,277,264,-13
Madison Avenue,T Monogram Tote,White,Canvas,Mini,Shenzhen,32,18,50,Spring,84,100,45,-55
Bal Harbour Shops,T Monogram Tote,Green,Leather,Medium,Guangzhou,46,15,61,Fall,261,287,51,-236
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Blue,Leather,Mini,Hanoi,32,16,48,Winter,80,64,103,39
Oak Street,Britten Tote,Metallic,Coated Canvas,Large,Shenzhen,45,18,63,Spring,283,339,94,-245
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,White,Leather,Medium,Shenzhen,40,18,58,Summer,154,154,67,-87
Rodeo Drive,T Monogram Tote,Metallic,Pebbled Leather,Large,Hanoi,34,17,51,Winter,66,52,45,-7
South Coast Plaza,T Monogram Tote,Red,Coated Canvas,Mini,Ho Chi Minh City,31,17,48,Summer,179,179,159,-20
Pacific Centre,T Monogram Tote,Blue,Canvas,Small,Shenzhen,49,15,64,Winter,279,223,38,-185
San Francisco Centre,Britten Tote,Purple,Canvas,Medium,Da Nang,41,18,59,Summer,280,280,23,-257
San Francisco Centre,Robinson Tote,Yellow,Pebbled Leather,Mini,Hanoi,30,14,44,Fall,205,225,163,-62
El Palacio de Hierro (Polanco),T Monogram Tote,Metallic,Coated Canvas,Large,Ho Chi Minh City,41,18,59,Winter,194,155,138,-17
The Galleria,Kira Chevron Tote,Brown,Jacquard,Medium,Da Nang,36,17,53,Winter,231,184,31,-153
Westfield World Trade Center,Perry Tote,Pink,Coated Canvas,Medium,Hanoi,43,15,58,Winter,161,128,111,-17
Yorkdale Shopping Centre,Ella Tote,Beige,Coated Canvas,Small,Shenzhen,40,16,56,Winter,279,223,107,-116
NorthPark Center,Robinson Tote,Purple,Leather,Small,Hanoi,43,18,61,Spring,211,253,14,-239
Pacific Centre,Robinson Tote,Black,Leather,Large,Hanoi,37,14,51,Spring,133,159,76,-83
El Palacio de Hierro (Santa Fe),Britten Tote,Blue,Leather,Small,Ho Chi Minh City,40,14,54,Winter,151,120,164,44
Aventura Mall,Kira Chevron Tote,Brown,Pebbled Leather,Large,Ho Chi Minh City,32,16,48,Fall,71,78,100,22
El Palacio de Hierro (Polanco),Britten Tote,Brown,Jacquard,Medium,Hanoi,44,14,58,Fall,294,323,108,-215
Rodeo Drive,McGraw Tote,Blue,Coated Canvas,Small,Shenzhen,46,18,64,Summer,283,283,262,-21
Oak Street,Ella Tote,Blue,Leather,Mini,Hanoi,42,15,57,Winter,130,104,6,-98
The Galleria,Kira Chevron Tote,Beige,Leather,Large,Guangzhou,39,18,57,Winter,78,62,48,-14
El Palacio de Hierro (Polanco),Robinson Tote,Blue,Pebbled Leather,Small,Shenzhen,37,15,52,Summer,296,296,127,-169
Pacific Centre,Kira Chevron Tote,Beige,Coated Canvas,Large,Hanoi,38,17,55,Spring,293,351,401,50
Oak Street,Gemini Link Tote,Gray,Leather,Large,Shenzhen,36,15,51,Summer,127,127,128,1
Pacific Centre,Robinson Tote,Green,Canvas,Mini,Guangzhou,43,14,57,Summer,162,162,102,-60
The Galleria,Robinson Tote,Red,Coated Canvas,Small,Ho Chi Minh City,47,16,63,Fall,176,193,20,-173
South Coast Plaza,Ella Tote,Red,Jacquard,Large,Guangzhou,50,16,66,Winter,67,53,20,-33
El Palacio de Hierro (Polanco),Kira Chevron Tote,Green,Leather,Small,Da Nang,38,18,56,Fall,206,226,66,-160
El Palacio de Hierro (Santa Fe),Robinson Tote,Yellow,Leather,Small,Ho Chi Minh City,43,15,58,Fall,294,323,362,39
Oak Street,T Monogram Tote,Brown,Leather,Small,Guangzhou,43,15,58,Summer,96,96,88,-8
South Coast Plaza,McGraw Tote,Multi,Leather,Medium,Ho Chi Minh City,30,14,44,Summer,130,130,78,-52
San Francisco Centre,T Monogram Tote,Brown,Jacquard,Medium,Da Nang,36,16,52,Summer,117,117,134,17
Pacific Centre,Perry Tote,Green,Pebbled Leather,Mini,Ho Chi Minh City,41,15,56,Fall,53,58,23,-35
El Palacio de Hierro (Polanco),Britten Tote,Multi,Leather,Small,Guangzhou,44,18,62,Spring,158,189,79,-110
Soho,McGraw Tote,Red,Canvas,Medium,Guangzhou,41,15,56,Fall,158,173,147,-26
El Palacio de Hierro (Polanco),Perry Tote,Multi,Canvas,Small,Ho Chi Minh City,44,18,62,Fall,126,138,68,-70
Bal Harbour Shops,McGraw Tote,Purple,Jacquard,Medium,Shenzhen,30,17,47,Summer,240,240,184,-56
El Palacio de Hierro (Santa Fe),Robinson Tote,Gray,Leather,Small,Ho Chi Minh City,48,14,62,Winter,143,114,19,-95
Madison Avenue,Gemini Link Tote,White,Leather,Medium,Guangzhou,47,14,61,Fall,194,213,147,-66
Madison Avenue,T Monogram Tote,Blue,Jacquard,Large,Shenzhen,36,15,51,Spring,77,92,5,-87
Bal Harbour Shops,Britten Tote,Gray,Pebbled Leather,Mini,Hanoi,33,14,47,Winter,258,206,60,-146
Aventura Mall,Ella Tote,Gray,Leather,Mini,Guangzhou,50,14,64,Spring,287,344,182,-162
NorthPark Center,T Monogram Tote,Pink,Jacquard,Large,Ho Chi Minh City,32,17,49,Winter,154,123,110,-13
The Galleria,Gemini Link Tote,Pink,Coated Canvas,Small,Da Nang,33,15,48,Summer,204,204,240,36
Madison Avenue,Britten Tote,Brown,Leather,Medium,Da Nang,50,18,68,Spring,213,255,53,-202
El Palacio de Hierro (Polanco),Ella Tote,Brown,Coated Canvas,Mini,Guangzhou,33,15,48,Spring,209,250,175,-75
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Brown,Jacquard,Large,Ho Chi Minh City,33,16,49,Fall,267,293,200,-93
NorthPark Center,Kira Chevron Tote,Multi,Leather,Small,Guangzhou,43,15,58,Summer,161,161,37,-124
El Palacio de Hierro (Polanco),T Monogram Tote,Purple,Pebbled Leather,Mini,Da Nang,37,17,54,Summer,178,178,101,-77
Westfield World Trade Center,T Monogram Tote,White,Canvas,Large,Hanoi,45,14,59,Summer,223,223,42,-181
South Coast Plaza,T Monogram Tote,Blue,Leather,Large,Guangzhou,45,17,62,Spring,60,72,57,-15
Madison Avenue,Robinson Tote,Beige,Jacquard,Mini,Guangzhou,38,17,55,Winter,115,92,79,-13
Bal Harbour Shops,T Monogram Tote,Pink,Coated Canvas,Large,Hanoi,43,15,58,Spring,84,100,67,-33
Westfield World Trade Center,McGraw Tote,White,Coated Canvas,Mini,Guangzhou,43,16,59,Fall,229,251,33,-218
Rodeo Drive,Ella Tote,Brown,Canvas,Large,Ho Chi Minh City,35,16,51,Winter,251,200,95,-105
Westfield World Trade Center,Britten Tote,Brown,Canvas,Mini,Guangzhou,34,15,49,Fall,215,236,34,-202
The Galleria,T Monogram Tote,Metallic,Jacquard,Mini,Hanoi,43,18,61,Spring,256,307,135,-172
Pacific Centre,Gemini Link Tote,Black,Canvas,Large,Shenzhen,37,15,52,Summer,183,183,3,-180
NorthPark Center,Britten Tote,Green,Jacquard,Mini,Da Nang,34,16,50,Winter,216,172,213,41
El Palacio de Hierro (Polanco),Gemini Link Tote,White,Coated Canvas,Large,Hanoi,47,15,62,Winter,137,109,37,-72
Bal Harbour Shops,Robinson Tote,Blue,Canvas,Small,Da Nang,34,17,51,Spring,197,236,112,-124
Rodeo Drive,Britten Tote,Metallic,Pebbled Leather,Small,Guangzhou,48,17,65,Summer,297,297,114,-183
Soho,Perry Tote,Yellow,Jacquard,Medium,Shenzhen,39,15,54,Winter,192,153,169,16
El Palacio de Hierro (Santa Fe),T Monogram Tote,Yellow,Jacquard,Medium,Guangzhou,39,17,56,Spring,58,69,111,42
The Galleria,Gemini Link Tote,Brown,Pebbled Leather,Small,Ho Chi Minh City,44,17,61,Winter,110,88,92,4
Soho,Britten Tote,White,Jacquard,Large,Da Nang,41,14,55,Fall,104,114,99,-15
Aventura Mall,T Monogram Tote,Gray,Canvas,Large,Shenzhen,41,16,57,Summer,229,229,45,-184
Madison Avenue,Britten Tote,Metallic,Coated Canvas,Small,Da Nang,50,18,68,Winter,286,228,143,-85
Westfield World Trade Center,Perry Tote,Red,Jacquard,Small,Guangzhou,38,15,53,Summer,191,191,217,26
Rodeo Drive,Britten Tote,Blue,Leather,Medium,Hanoi,47,15,62,Fall,209,229,64,-165
Pacific Centre,T Monogram Tote,Red,Jacquard,Small,Hanoi,31,17,48,Spring,99,118,10,-108
NorthPark Center,McGraw Tote,Red,Coated Canvas,Medium,Da Nang,50,16,66,Winter,132,105,105,0
NorthPark Center,Britten Tote,Red,Leather,Medium,Hanoi,43,18,61,Winter,136,108,109,1
Westfield World Trade Center,Perry Tote,Green,Leather,Small,Ho Chi Minh City,41,17,58,Summer,52,52,50,-2
El Palacio de Hierro (Polanco),McGraw Tote,Green,Pebbled Leather,Large,Ho Chi Minh City,37,17,54,Spring,173,207,129,-78
Pacific Centre,Gemini Link Tote,Pink,Coated Canvas,Large,Ho Chi Minh City,42,16,58,Summer,272,272,53,-219
El Palacio de Hierro (Santa Fe),Robinson Tote,Red,Pebbled Leather,Mini,Da Nang,32,15,47,Winter,112,89,106,17
South Coast Plaza,Gemini Link Tote,Beige,Pebbled Leather,Large,Da Nang,30,15,45,Winter,272,217,74,-143
Westfield World Trade Center,Perry Tote,Red,Leather,Small,Ho Chi Minh City,45,18,63,Fall,197,216,127,-89
South Coast Plaza,Kira Chevron Tote,Green,Coated Canvas,Small,Shenzhen,33,14,47,Summer,50,50,27,-23
Pacific Centre,Robinson Tote,White,Pebbled Leather,Medium,Guangzhou,39,15,54,Spring,178,213,19,-194
Bal Harbour Shops,Perry Tote,Blue,Jacquard,Medium,Shenzhen,43,16,59,Spring,140,168,159,-9
Soho,Britten Tote,Metallic,Pebbled Leather,Large,Hanoi,35,16,51,Spring,130,156,61,-95
El Palacio de Hierro (Santa Fe),Robinson Tote,Metallic,Canvas,Small,Shenzhen,43,15,58,Fall,139,152,183,31
Yorkdale Shopping Centre,Gemini Link Tote,Pink,Pebbled Leather,Mini,Da Nang,38,15,53,Fall,134,147,40,-107
The Galleria,Kira Chevron Tote,Gray,Canvas,Medium,Guangzhou,44,14,58,Summer,98,98,68,-30
El Palacio de Hierro (Polanco),Kira Chevron Tote,Purple,Canvas,Medium,Guangzhou,37,14,51,Winter,76,60,43,-17
Soho,Robinson Tote,Pink,Canvas,Mini,Guangzhou,42,14,56,Spring,79,94,41,-53
El Palacio de Hierro (Polanco),Gemini Link Tote,White,Leather,Large,Shenzhen,50,16,66,Winter,178,142,105,-37
El Palacio de Hierro (Polanco),Gemini Link Tote,Blue,Pebbled Leather,Large,Ho Chi Minh City,31,17,48,Fall,162,178,194,16
El Palacio de Hierro (Santa Fe),Kira Chevron Tote,Yellow,Coated Canvas,Medium,Hanoi,38,17,55,Summer,95,95,1,-94
Oak Street,Gemini Link Tote,Pink,Coated Canvas,Mini,Ho Chi Minh City,50,15,65,Winter,89,71,72,1
South Coast Plaza,T Monogram Tote,Blue,Canvas,Small,Hanoi,41,14,55,Winter,148,118,168,50
NorthPark Center,T Monogram Tote,Beige,Jacquard,Medium,Shenzhen,37,16,53,Fall,284,312,318,6
Soho,Britten Tote,Beige,Pebbled Leather,Mini,Shenzhen,44,14,58,Fall,270,297,227,-70
Westfield World Trade Center,Robinson Tote,White,Coated Canvas,Large,Guangzhou,39,15,54,Winter,279,223,97,-126
Westfield World Trade Center,Kira Chevron Tote,Brown,Coated Canvas,Large,Shenzhen,32,18,50,Summer,222,222,168,-54
Aventura Mall,McGraw Tote,Yellow,Canvas,Medium,Da Nang,43,18,61,Spring,258,309,309,0
El Palacio de Hierro (Santa Fe),McGraw Tote,Green,Leather,Small,Hanoi,48,14,62,Fall,65,71,81,10
